open,close,high,low,datetime,datetime
13836.10865872336,13835.24801143728,13836.10865872336,13834.10719398142,1684773720000,2023-05-22 16:42:00
13835.35129637279,13838.4929396625,13838.4929396625,13834.71074063158,1684773780000,2023-05-22 16:43:00
13838.41860646712,13838.66112179381,13840.05925805456,13837.32959153458,1684773840000,2023-05-22 16:44:00
13838.37153148809,13839.74208785882,13841.23395938141,13837.94189106923,1684773900000,2023-05-22 16:45:00
13839.85121023962,13841.96944834402,13841.96944834402,13838.95140588645,1684773960000,2023-05-22 16:46:00
13842.21741825709,13836.73025171891,13842.21741825709,13836.49758249633,1684774020000,2023-05-22 16:47:00
13836.6861301717,13841.72967676093,13842.21097490753,13836.6861301717,1684774080000,2023-05-22 16:48:00
13841.74701400038,13838.7739482766,13841.74701400038,13838.7739482766,1684774140000,2023-05-22 16:49:00
13838.87058763411,13839.38659392978,13840.73639260185,13838.8662716279,1684774200000,2023-05-22 16:50:00
13839.23511328844,13840.37206522803,13841.8853054953,13837.84821023473,1684774260000,2023-05-22 16:51:00
13840.21650326192,13838.97644197596,13840.21650326192,13838.1972513857,1684774320000,2023-05-22 16:52:00
13838.99957246861,13842.66805443346,13842.84488643212,13838.92697084545,1684774380000,2023-05-22 16:53:00
13842.66558414644,13840.18673127569,13842.75680120841,13840.10257262596,1684774440000,2023-05-22 16:54:00
13840.37932836936,13841.23228465849,13842.10759708444,13839.68894375575,1684774500000,2023-05-22 16:55:00
13841.23425679804,13842.22721516465,13842.30194981861,13840.19011557506,1684774560000,2023-05-22 16:56:00
13842.06662027838,13841.8082252593,13842.76608555345,13841.20416489547,1684774620000,2023-05-22 16:57:00
13842.11416654382,13842.58926788665,13844.75799343837,13842.11416654382,1684774680000,2023-05-22 16:58:00
13842.676698005,13845.14470640107,13847.26129492689,13842.676698005,1684774740000,2023-05-22 16:59:00
13845.34038060042,13850.96304439179,13852.75066282253,13845.32323711746,1684774800000,2023-05-22 17:00:00
13850.6940768144,13847.91473668694,13850.83377686517,13847.68618367176,1684774860000,2023-05-22 17:01:00
13847.81491155033,13846.08241805419,13848.73560646954,13846.08241805419,1684774920000,2023-05-22 17:02:00
13846.08666032613,13847.80838416168,13847.83907584408,13844.13599646652,1684774980000,2023-05-22 17:03:00
13847.54781614449,13846.06906957819,13847.54781614449,13846.06906957819,1684775040000,2023-05-22 17:04:00
13845.9201103465,13845.70390526537,13846.12605239095,13844.3220937704,1684775100000,2023-05-22 17:05:00
13845.68683956611,13848.03764024557,13848.29596679443,13843.41962118048,1684775160000,2023-05-22 17:06:00
13848.16875936764,13851.67674053576,13853.69234376236,13848.1506854785,1684775220000,2023-05-22 17:07:00
13852.14349345671,13849.78888752786,13853.45963568256,13849.78199762834,1684775280000,2023-05-22 17:08:00
13849.63051864373,13847.56254722629,13849.63051864373,13847.34997771883,1684775340000,2023-05-22 17:09:00
13847.56383485797,13853.72517043213,13853.72517043213,13847.56383485797,1684775400000,2023-05-22 17:10:00
13853.84272796385,13850.06355353731,13853.85110641116,13849.61255597135,1684775460000,2023-05-22 17:11:00
13850.15308296935,13851.63718759349,13851.74678822904,13849.04477603575,1684775520000,2023-05-22 17:12:00
13851.59899177394,13851.45884175332,13852.45558089178,13851.03510384668,1684775580000,2023-05-22 17:13:00
13851.51577947317,13833.59067329537,13851.56088397209,13830.64980149956,1684775640000,2023-05-22 17:14:00
13833.06642252898,13821.95847305905,13833.06642252898,13820.91085607755,1684775700000,2023-05-22 17:15:00
13822.68458727607,13832.4900777133,13832.4900777133,13822.67258348596,1684775760000,2023-05-22 17:16:00
13834.62267225686,13836.67979982368,13837.08717688465,13831.25931432063,1684775820000,2023-05-22 17:17:00
13836.29922009633,13837.29364479006,13838.12572438238,13835.70300850248,1684775880000,2023-05-22 17:18:00
13837.07167018038,13837.97753682142,13838.96839334899,13836.03047497164,1684775940000,2023-05-22 17:19:00
13837.88850310204,13840.82018780414,13842.24663801654,13837.46301306257,1684776000000,2023-05-22 17:20:00
13840.79784520119,13838.89425954788,13840.82247295986,13838.03418219451,1684776060000,2023-05-22 17:21:00
13839.55536740023,13845.67491495014,13847.75433109158,13839.55536740023,1684776120000,2023-05-22 17:22:00
13845.65471154113,13848.42935582965,13849.34370075152,13845.41779155351,1684776180000,2023-05-22 17:23:00
13848.39445845064,13850.77563299125,13850.85771590069,13848.26554992197,1684776240000,2023-05-22 17:24:00
13850.60822354017,13849.9842331588,13851.41240199964,13849.37048543665,1684776300000,2023-05-22 17:25:00
13849.98619337953,13850.89976335912,13851.62675369904,13849.36911047516,1684776360000,2023-05-22 17:26:00
13850.74786736778,13855.84818259373,13855.84818259373,13849.9802585078,1684776420000,2023-05-22 17:27:00
13855.87176603257,13853.90930689351,13856.35674922695,13852.73274612235,1684776480000,2023-05-22 17:28:00
13853.89009598398,13852.36304120475,13853.89009598398,13852.36304120475,1684776540000,2023-05-22 17:29:00
13851.9906736221,13855.16035104136,13855.81414142886,13851.9906736221,1684776600000,2023-05-22 17:30:00
13855.47527167057,13860.39404714791,13861.56066113834,13855.47527167057,1684776660000,2023-05-22 17:31:00
13860.31646329974,13860.04392876012,13860.31646329974,13858.24839106002,1684776720000,2023-05-22 17:32:00
13861.27530850175,13858.18513280002,13861.27530850175,13858.04515461018,1684776780000,2023-05-22 17:33:00
13858.03575908316,13857.61214807689,13859.71367736133,13857.08468341719,1684776840000,2023-05-22 17:34:00
13857.6162373643,13857.83904679197,13858.6012905241,13856.28009738004,1684776900000,2023-05-22 17:35:00
13857.98305593161,13862.32071639517,13862.32071639517,13857.25239503822,1684776960000,2023-05-22 17:36:00
13862.7469954054,13862.17933855898,13863.03394652725,13862.09056537317,1684777020000,2023-05-22 17:37:00
13861.98888030893,13861.7653264643,13862.86574324647,13861.26377986498,1684777080000,2023-05-22 17:38:00
13861.6474360591,13861.94817629904,13862.95596793351,13861.31921184677,1684777140000,2023-05-22 17:39:00
13862.1236048622,13862.11373108201,13863.70692689255,13861.54917258972,1684777200000,2023-05-22 17:40:00
13862.09774922736,13861.24429044327,13863.42158456069,13861.24429044327,1684777260000,2023-05-22 17:41:00
13861.11842165303,13865.3562265905,13865.65152666269,13860.93937547222,1684777320000,2023-05-22 17:42:00
13865.3378692031,13866.24996473433,13870.14684727195,13865.3378692031,1684777380000,2023-05-22 17:43:00
13865.98011814009,13863.01872935646,13865.98011814009,13861.7745919482,1684777440000,2023-05-22 17:44:00
